product,created_at,core_product_type,modifier,creator,department,occasion,color,material,product_name,content,origin,UoM,time,condition,quantity,shape,product_number,price,ts,attribute,core_product_type_string
fashion photography prints,Sat Jun 24 13:13:44 +0000 2023,['prints'],['fashion'],[],[],['photography'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-24 13:13:44,fashion ,prints 
pinup fashion outfits,Sun Jun 25 23:22:26 +0000 2023,['outfits'],['fashion'],['pinup'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-25 23:22:26,fashion ,outfits 
fashion hats,Sun Jun 25 23:22:26 +0000 2023,['hats'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-25 23:22:26,fashion ,hats 
fashion illustration prints,Sun Jun 25 13:53:20 +0000 2023,['prints'],['fashion'],[],[],[],[],[],['illustration'],[],[],[],[],[],[],[],[],[],2023-06-25 13:53:20,fashion ,prints 
fashion design portfolio,Sun Jun 25 13:53:20 +0000 2023,[],['fashion'],[],[],[],[],[],"['design', 'portfolio']",[],[],[],[],[],[],[],[],[],2023-06-25 13:53:20,fashion ,
Luxury Menswear Accessories,Tue Jun 20 21:31:26 +0000 2023,['accessories'],['luxury'],[],['menswear'],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-20 21:31:26,accessories ,accessories 
Fashion Show Merchandise,Tue Jun 20 21:31:26 +0000 2023,['merchandise'],['fashion'],[],[],['show'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-20 21:31:26,fashion ,merchandise 
hair accessories,Tue Jun 20 15:57:56 +0000 2023,"['hair', 'accessories']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-20 15:57:56,accessories ,hair accessories 
3D Fashion Design Software,Wed Jun 21 10:11:49 +0000 2023,[],[],[],[],['fashion'],[],[],"['design', 'software']",[],[],['3d'],[],[],[],[],[],[],2023-06-21 10:11:49,fashion ,
Fashion Photography Course,Wed Jun 21 10:11:49 +0000 2023,['course'],['fashion'],[],[],['photography'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-21 10:11:49,fashion ,course 
Fashion Photography Print,Wed Jun 21 04:32:25 +0000 2023,[],"['fashion', 'print']",[],[],['photography'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-21 04:32:25,fashion ,
Fashion Stylist Consultation,Wed Jun 21 04:32:25 +0000 2023,[],['fashion'],[],[],[],[],[],"['stylist', 'consultation']",[],[],[],[],[],[],[],[],[],2023-06-21 04:32:25,fashion ,
Fashion Nova kids clothing,Wed Jun 21 21:59:45 +0000 2023,['clothing'],[],"['fashion', 'nova']",['kids'],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-21 21:59:45,fashion ,clothing 
Hair accessories for kids,Wed Jun 21 21:59:45 +0000 2023,"['hair', 'accessories']",[],[],['kids'],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-21 21:59:45,accessories ,hair accessories 
fashion accessories,Tue Jun 20 08:18:27 +0000 2023,['accessories'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-20 08:18:27,fashion accessories ,accessories 
Fashion Spinner Wheel,Wed Jun 21 10:34:09 +0000 2023,"['spinner', 'wheel']",['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-21 10:34:09,fashion ,spinner wheel 
Girly Fashion Items,Wed Jun 21 10:34:09 +0000 2023,['items'],"['girly', 'fashion']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-21 10:34:09,fashion ,items 
fashion accessories,Wed Jun 21 03:18:17 +0000 2023,['accessories'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-21 03:18:17,fashion accessories ,accessories 
Fashion Nail Design Stickers,Thu Jun 22 08:01:05 +0000 2023,"['nail', 'stickers']","['fashion', 'design']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-22 08:01:05,fashion ,nail stickers 
fashion sunglasses,Tue Jun 20 03:21:38 +0000 2023,['sunglasses'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-20 03:21:38,fashion ,sunglasses 
urban fashion clothing,Tue Jun 20 03:21:38 +0000 2023,['clothing'],['fashion'],['urban'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-20 03:21:38,fashion ,clothing 
professional camera accessories,Tue Jun 20 03:21:38 +0000 2023,"['camera', 'accessories']",['professional'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-20 03:21:38,accessories ,camera accessories 
fashion photography prints,Tue Jun 20 03:21:38 +0000 2023,['prints'],['fashion'],[],[],['photography'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-20 03:21:38,fashion ,prints 
Michael Kors Fashion Accessories,Wed Jun 21 05:05:07 +0000 2023,['accessories'],['fashion'],"['michael', 'kors']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-21 05:05:07,fashion accessories ,accessories 
fashion photography backdrop,Wed Jun 21 16:46:58 +0000 2023,['backdrop'],['fashion'],[],[],['photography'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-21 16:46:58,fashion ,backdrop 
Fashion Week Paris Apparel,Wed Jun 21 21:14:47 +0000 2023,['apparel'],[],"['fashion', 'week']",[],[],[],[],[],[],['paris'],[],[],[],[],[],[],[],2023-06-21 21:14:47,fashion ,apparel 
African-Inspired Fashion Accessories,Wed Jun 21 21:14:47 +0000 2023,['accessories'],"['african', '-', 'inspired']",[],[],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-21 21:14:47,fashion accessories ,accessories 
Fashion Show Tickets,Wed Jun 21 21:14:47 +0000 2023,['tickets'],[],[],[],"['fashion', 'show']",[],[],[],[],[],[],[],[],[],[],[],[],2023-06-21 21:14:47,fashion ,tickets 
Fashion Designer Silk Material,Wed Jun 21 10:50:17 +0000 2023,[],['fashion'],[],[],[],[],"['silk', 'material']",['designer'],[],[],[],[],[],[],[],[],[],2023-06-21 10:50:17,fashion ,
Dyeable Organza for Fashion Designers,Wed Jun 21 10:50:20 +0000 2023,[],['dyeable'],['fashion'],['designers'],[],[],['organza'],[],[],[],[],[],[],[],[],[],[],2023-06-21 10:50:20,fashion ,
Fashion Fabrics for Boutiques,Wed Jun 21 10:50:20 +0000 2023,[],['fashion'],[],['boutiques'],[],[],['fabrics'],[],[],[],[],[],[],[],[],[],[],2023-06-21 10:50:20,fashion ,
Amazon Fashion Outfits,Sun Jun 18 12:59:55 +0000 2023,['outfits'],['fashion'],['amazon'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-18 12:59:55,fashion ,outfits 
Hair Accessories (like flowers),Sun Jun 18 12:59:55 +0000 2023,"['hair', 'accessories', ')']",['flowers'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-18 12:59:55,accessories ,hair accessories ) 
Fashion Jewelry (like necklaces or earrings),Sun Jun 18 12:59:55 +0000 2023,"['jewelry', 'necklaces', 'earrings']",['fashion'],[],[],[],[],[],[')'],[],[],[],[],[],[],[],[],[],2023-06-18 12:59:55,fashion ,jewelry necklaces earrings 
fashion model merchandise,Sat Jun 17 22:14:16 +0000 2023,['merchandise'],['fashion'],[],['model'],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-17 22:14:16,fashion ,merchandise 
fashion show tickets,Sat Jun 17 22:14:16 +0000 2023,['tickets'],[],[],[],"['fashion', 'show']",[],[],[],[],[],[],[],[],[],[],[],[],2023-06-17 22:14:16,fashion ,tickets 
Fashion Sandals,Mon Jun 19 17:22:07 +0000 2023,['sandals'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-19 17:22:07,fashion ,sandals 
Fashion Accessories,Mon Jun 19 17:22:07 +0000 2023,['accessories'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-19 17:22:07,fashion accessories ,accessories 
Gourmet banana accessories,Mon Jun 19 22:52:05 +0000 2023,"['banana', 'accessories']",['gourmet'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-19 22:52:05,accessories ,banana accessories 
Fashion illustration books,Mon Jun 19 22:52:05 +0000 2023,['books'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-19 22:52:05,fashion ,books 
fashion magazines,Tue Jun 20 03:11:32 +0000 2023,['magazines'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-20 03:11:32,fashion ,magazines 
fashion week outfits,Mon Jun 19 04:57:54 +0000 2023,['outfits'],[],[],[],"['fashion', 'week']",[],[],[],[],[],[],[],[],[],[],[],[],2023-06-19 04:57:54,fashion ,outfits 
statement accessories,Mon Jun 19 04:57:54 +0000 2023,['accessories'],['statement'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-19 04:57:54,accessories ,accessories 
fashion photography books,Mon Jun 19 12:21:57 +0000 2023,['books'],['fashion'],[],[],['photography'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-19 12:21:57,fashion ,books 
fashion photography props,Mon Jun 19 04:55:23 +0000 2023,['props'],['fashion'],[],[],['photography'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-19 04:55:23,fashion ,props 
Second Life avatar accessories,Mon Jun 19 15:57:16 +0000 2023,['accessories'],[],"['second', 'avatar']",[],[],[],[],['life'],[],[],[],[],[],[],[],[],[],2023-06-19 15:57:16,accessories ,accessories 
Second Life fashion poses,Mon Jun 19 15:57:16 +0000 2023,[],['fashion'],"['second', 'life']",[],[],[],[],['poses'],[],[],[],[],[],[],[],[],[],2023-06-19 15:57:16,fashion ,
Second Life Fashion Accessories,Sat Jun 17 15:34:59 +0000 2023,['accessories'],['fashion'],"['second', 'life']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-17 15:34:59,fashion accessories ,accessories 
futuristic fashion jacket,Sun Jun 18 14:55:10 +0000 2023,['jacket'],"['futuristic', 'fashion']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-18 14:55:10,fashion ,jacket 
avant-garde fashion accessories,Sun Jun 18 14:55:10 +0000 2023,['accessories'],"['avant', 'garde']",[],[],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-18 14:55:10,fashion accessories ,accessories 
Intricate Knitted Fashion Dress,Sun Jun 18 15:02:59 +0000 2023,['dress'],"['intricate', 'fashion']",[],[],[],[],['knitted'],[],[],[],[],[],[],[],[],[],[],2023-06-18 15:02:59,fashion ,dress 
Fashion Styling Books,Sun Jun 18 15:02:59 +0000 2023,['books'],['fashion'],[],[],[],[],[],['styling'],[],[],[],[],[],[],[],[],[],2023-06-18 15:02:59,fashion ,books 
Trendy Dystopian Fashion Apparel,Mon Jun 19 08:28:21 +0000 2023,['apparel'],"['trendy', 'fashion']",[],[],[],[],[],[],[],['dystopian'],[],[],[],[],[],[],[],2023-06-19 08:28:21,fashion ,apparel 
Fashionista Accessories,Mon Jun 19 08:28:21 +0000 2023,['accessories'],[],['fashionista'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-19 08:28:21,accessories ,accessories 
workout accessories,Mon Jun 19 00:44:36 +0000 2023,['accessories'],[],[],[],['workout'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-19 00:44:36,accessories ,accessories 
Fashion Design Courses,Mon Jun 19 17:51:04 +0000 2023,['courses'],[],[],[],"['fashion', 'design']",[],[],[],[],[],[],[],[],[],[],[],[],2023-06-19 17:51:04,fashion ,courses 
Books on Fashion Entrepreneurship,Mon Jun 19 17:51:04 +0000 2023,['books'],[],[],[],[],[],[],[],"['on', 'fashion', 'entrepreneurship']",[],[],[],[],[],[],[],[],2023-06-19 17:51:04,fashion ,books 
Destiny 2 Fashion Guide Book,Tue Nov 28 08:30:30 +0000 2023,[],[],['destiny'],[],['fashion'],[],[],[],"['2', 'guide', 'book']",[],[],[],[],[],[],[],[],2023-11-28 08:30:30,fashion ,
fashion jewelry,Wed Nov 29 13:45:32 +0000 2023,['jewelry'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-29 13:45:32,fashion ,jewelry 
fashion accessories,Wed Nov 29 13:45:32 +0000 2023,['accessories'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-29 13:45:32,fashion accessories ,accessories 
Fashion Earrings,Wed Nov 29 16:55:37 +0000 2023,['earrings'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-29 16:55:37,fashion ,earrings 
Second Life fashion items,Tue Nov 28 18:02:03 +0000 2023,['items'],['fashion'],"['second', 'life']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-28 18:02:03,fashion ,items 
Virtual avatar accessories,Tue Nov 28 18:02:03 +0000 2023,['accessories'],['virtual'],['avatar'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-28 18:02:03,accessories ,accessories 
Virtual Fashion Accessories,Wed Nov 29 16:24:16 +0000 2023,['accessories'],"['virtual', 'fashion']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-29 16:24:16,fashion accessories ,accessories 
Virtual Fashion Robe,Fri Nov 24 17:17:43 +0000 2023,['robe'],"['virtual', 'fashion']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-24 17:17:43,fashion ,robe 
Avatar Accessories for Second Life,Fri Nov 24 17:17:43 +0000 2023,['accessories'],['life'],['avatar'],[],['second'],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-24 17:17:43,accessories ,accessories 
Fashion Nova Dresses,Sun Nov 26 05:23:32 +0000 2023,['dresses'],[],"['fashion', 'nova']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-26 05:23:32,fashion ,dresses 
High Fashion Runway Accessories,Sun Nov 26 05:23:32 +0000 2023,['accessories'],"['high', 'fashion']",[],[],['runway'],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-26 05:23:32,fashion accessories ,accessories 
Fashion Video Subscription Services,Sun Nov 26 05:23:32 +0000 2023,['services'],['fashion'],[],[],[],[],[],"['video', 'subscription']",[],[],[],[],[],[],[],[],[],2023-11-26 05:23:32,fashion ,services 
fashion jewelry,Sun Nov 26 05:27:04 +0000 2023,['jewelry'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-26 05:27:04,fashion ,jewelry 
fashion nova clothing,Sun Nov 26 05:27:04 +0000 2023,['clothing'],[],"['fashion', 'nova']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-26 05:27:04,fashion ,clothing 
Adore Me Fashion Accessories,Wed Nov 29 17:30:48 +0000 2023,['accessories'],['fashion'],"['adore', 'me']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-29 17:30:48,fashion accessories ,accessories 
Fashion Week Apparel,Wed Nov 29 17:30:48 +0000 2023,['apparel'],[],['fashion'],[],['week'],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-29 17:30:48,fashion ,apparel 
Fashion Event Merchandise,Tue Nov 28 22:36:57 +0000 2023,['merchandise'],['fashion'],[],[],['event'],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-28 22:36:57,fashion ,merchandise 
Fashion Nova Clothing,Sun Nov 26 04:42:36 +0000 2023,['clothing'],[],"['fashion', 'nova']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-26 04:42:36,fashion ,clothing 
Glamour Fashion Accessories,Sun Nov 26 04:42:36 +0000 2023,['accessories'],['fashion'],['glamour'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-26 04:42:36,fashion accessories ,accessories 
Fashion Photography Services,Sun Nov 26 04:42:36 +0000 2023,['photography'],['fashion'],['services'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-26 04:42:36,fashion ,photography 
Fashion Lookbooks,Sun Nov 26 04:42:36 +0000 2023,['lookbooks'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-26 04:42:36,fashion ,lookbooks 
AI-generated Fashion Illustration Prints,Wed Nov 29 13:17:33 +0000 2023,['prints'],"['generated', 'fashion']",['ai'],[],[],[],[],['illustration'],[],[],[],[],[],[],[],[],[],2023-11-29 13:17:33,fashion ,prints 
Fashion Illustration Print,Wed Nov 29 13:50:25 +0000 2023,[],"['fashion', 'print']",[],[],[],[],[],['illustration'],[],[],[],[],[],[],[],[],[],2023-11-29 13:50:25,fashion ,
fashion accessories,Tue Nov 28 07:30:00 +0000 2023,['accessories'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-28 07:30:00,fashion accessories ,accessories 
fashion illustration prints,Wed Nov 29 09:49:11 +0000 2023,['prints'],['fashion'],[],[],[],[],[],['illustration'],[],[],[],[],[],[],[],[],[],2023-11-29 09:49:11,fashion ,prints 
designer fashion sketches,Wed Nov 29 09:49:11 +0000 2023,[],"['designer', 'fashion']",[],[],[],[],[],['sketches'],[],[],[],[],[],[],[],[],[],2023-11-29 09:49:11,fashion ,
street style fashion accessories,Thu Nov 23 11:49:29 +0000 2023,['accessories'],"['street', 'style', 'fashion']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-23 11:49:29,fashion accessories ,accessories 
handcrafted fashion accessories,Fri Nov 24 13:48:10 +0000 2023,['accessories'],"['handcrafted', 'fashion']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-24 13:48:10,fashion accessories ,accessories 
fashion illustration prints,Fri Nov 24 12:08:52 +0000 2023,['prints'],['fashion'],[],[],[],[],[],['illustration'],[],[],[],[],[],[],[],[],[],2023-11-24 12:08:52,fashion ,prints 
fashion tech pack services,Fri Nov 24 12:08:52 +0000 2023,"['pack', 'services']",['fashion'],[],[],[],[],[],['tech'],[],[],[],[],[],[],[],[],[],2023-11-24 12:08:52,fashion ,pack services 
nft fashion items,Fri Nov 24 12:08:52 +0000 2023,['items'],['fashion'],['nft'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-24 12:08:52,fashion ,items 
high-fashion heels,Thu Nov 23 17:39:24 +0000 2023,['heels'],"['high', 'fashion']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-23 17:39:24,fashion ,heels 
fashion show tickets,Thu Nov 23 17:39:24 +0000 2023,['tickets'],[],[],[],"['fashion', 'show']",[],[],[],[],[],[],[],[],[],[],[],[],2023-11-23 17:39:24,fashion ,tickets 
runway-inspired accessories,Wed Nov 22 17:02:37 +0000 2023,['accessories'],"['-', 'inspired']",[],[],['runway'],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-22 17:02:37,accessories ,accessories 
high-fashion tights,Wed Nov 22 17:02:37 +0000 2023,['tights'],"['high', 'fashion']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-22 17:02:37,fashion ,tights 
MARTA SIERRA fashion items on Vinted,Fri Nov 24 13:02:24 +0000 2023,['items'],['fashion'],"['marta', 'sierra']",[],[],[],['vinted'],[],[],[],[],[],[],[],[],[],[],2023-11-24 13:02:24,fashion ,items 
fashion photography prints,Tue Nov 21 13:09:54 +0000 2023,['prints'],['fashion'],[],[],['photography'],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-21 13:09:54,fashion ,prints 
Fashion Week Event Tickets,Fri Nov 24 17:15:42 +0000 2023,['tickets'],[],[],[],"['fashion', 'week', 'event']",[],[],[],[],[],[],[],[],[],[],[],[],2023-11-24 17:15:42,fashion ,tickets 
Fashion Graphic Tees,Fri Nov 24 17:15:42 +0000 2023,['tees'],"['fashion', 'graphic']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-24 17:15:42,fashion ,tees 
fashion accessories,Tue Nov 21 17:27:18 +0000 2023,['accessories'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-21 17:27:18,fashion accessories ,accessories 
fashion props for second life,Tue Nov 21 17:27:18 +0000 2023,['props'],['fashion'],[],[],['second'],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-21 17:27:18,fashion ,props 
Second Life Fashion Accessories,Wed Nov 22 17:48:25 +0000 2023,['accessories'],['fashion'],"['second', 'life']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-22 17:48:25,fashion accessories ,accessories 
King YAHWEH Accessories,Thu Nov 23 14:21:14 +0000 2023,['accessories'],[],"['king', 'yahweh']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-23 14:21:14,accessories ,accessories 
fashion illustration prints,Thu Nov 23 20:22:51 +0000 2023,['prints'],['fashion'],[],[],[],[],[],['illustration'],[],[],[],[],[],[],[],[],[],2023-11-23 20:22:51,fashion ,prints 
fashion statement jewelry,Fri Nov 24 07:59:53 +0000 2023,['jewelry'],['fashion'],[],[],[],[],[],['statement'],[],[],[],[],[],[],[],[],[],2023-11-24 07:59:53,fashion ,jewelry 
Black Friday Fashion Deals,Tue Nov 21 15:45:20 +0000 2023,[],[],[],[],"['friday', 'fashion', 'deals']",['black'],[],[],[],[],[],[],[],[],[],[],[],2023-11-21 15:45:20,fashion ,
Fashion Clothing,Tue Nov 21 15:45:20 +0000 2023,['clothing'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-21 15:45:20,fashion ,clothing 
Fashion Accessories,Tue Nov 21 15:45:20 +0000 2023,['accessories'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-21 15:45:20,fashion accessories ,accessories 
Swim Accessories,Sun Nov 19 13:01:39 +0000 2023,"['swim', 'accessories']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-19 13:01:39,accessories ,swim accessories 
Men's Fashion Accessories,Sat Nov 18 02:21:20 +0000 2023,['accessories'],['fashion'],[],"['men', ""'"", 's']",[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-18 02:21:20,fashion accessories ,accessories 
Fashion Stylist Consultation,Sat Nov 18 02:21:20 +0000 2023,[],['fashion'],[],[],[],[],[],"['stylist', 'consultation']",[],[],[],[],[],[],[],[],[],2023-11-18 02:21:20,fashion ,
fashion statement accessories,Sat Nov 18 06:42:11 +0000 2023,['accessories'],['fashion'],[],[],[],[],[],['statement'],[],[],[],[],[],[],[],[],[],2023-11-18 06:42:11,fashion accessories ,accessories 
Fashion Princess game merchandise,Mon Nov 20 13:00:02 +0000 2023,"['game', 'merchandise']",['fashion'],[],[],[],[],[],['princess'],[],[],[],[],[],[],[],[],[],2023-11-20 13:00:02,fashion ,game merchandise 
trend-based fashion accessories,Sun Nov 19 05:19:01 +0000 2023,['accessories'],"['trend', 'based', 'fashion']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-19 05:19:01,fashion accessories ,accessories 
Saree Fashion Accessories,Fri Nov 17 11:27:38 +0000 2023,['saree'],['fashion'],[],['accessories'],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-17 11:27:38,fashion accessories ,saree 
Ethnic Fashion Jewelry,Fri Nov 17 11:27:38 +0000 2023,['jewelry'],['fashion'],['ethnic'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-17 11:27:38,fashion ,jewelry 
second life avatar accessories,Sat Nov 18 21:02:32 +0000 2023,['accessories'],[],"['second', 'avatar']",[],[],[],[],['life'],[],[],[],[],[],[],[],[],[],2023-11-18 21:02:32,accessories ,accessories 
digital fashion models,Sat Nov 18 21:02:32 +0000 2023,[],"['digital', 'fashion']",[],['models'],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-18 21:02:32,fashion ,
fashion poses for avatars,Sat Nov 18 21:02:32 +0000 2023,[],['fashion'],[],[],[],[],[],"['poses', 'avatars']",[],[],[],[],[],[],[],[],[],2023-11-18 21:02:32,fashion ,
modern fashion statement pieces,Sun Nov 19 19:01:58 +0000 2023,['pieces'],['fashion'],[],[],[],[],[],['statement'],[],[],[],['modern'],[],[],[],[],[],2023-11-19 19:01:58,fashion ,pieces 
Fashion accessories,Mon Nov 20 17:02:40 +0000 2023,['accessories'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-20 17:02:40,fashion accessories ,accessories 
Art Hearts Fashion collection,Mon Nov 20 17:02:40 +0000 2023,[],['fashion'],"['art', 'hearts']",[],[],[],[],['collection'],[],[],[],[],[],[],[],[],[],2023-11-20 17:02:40,fashion ,
