,titles,core_product_type,modifier,color,condition,occasion,product_name,department,UoM,material,content,shape,quantity,time,creator
20,Magenta Sword with Light-Up Blade,"['sword', 'blade']","['light', '-', 'up']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
21,Magenta Sword for Fantasy Roleplay,[],['fantasy'],['mage'],[],[],[],[],[],[],[],[],[],[],[]
22,Magenta Sword with Custom Engravings,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
23,Magenta Sword with Sheath and Accessories,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
24,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
25,Magenta Sword with Adjustable Length,['sword'],['adjustable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
26,Magenta Sword with Sound Effects,['sword'],"['sound', 'effects']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
27,Magenta Sword with Realistic Hilt Design,['sword'],['realistic'],['magenta'],[],[],[],[],[],[],[],['hilt'],[],[],[]
28,Magenta Sword with Display Stand,['sword'],"['display', 'stand']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
29,Magenta Sword for Cosplay Events,['sword'],[],['magenta'],[],"['cosplay', 'events']",[],[],[],[],[],[],[],[],[]
30,Magenta Sword with Crystal Blade,['sword'],[],['magenta'],[],[],[],[],[],['crystal'],[],[],[],[],[]
31,Magenta Sword with LED Display,['sword'],"['led', 'display']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
32,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
33,Magenta Sword with Engraved Handle,['sword'],['engraved'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
34,Limited Edition Magenta Sword,['sword'],[],['magenta'],['edition'],[],[],[],[],[],[],[],[],[],[]
35,Magenta Sword with Custom Scabbard,"['sword', 'scabbard']",['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
36,Magenta Sword for Role-Playing Games,[],[],['mage'],[],['role'],[],[],[],[],[],[],[],[],[]
37,Magenta Sword with Decorative Base,['sword'],['decorative'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
38,Magenta Sword with Removable Blade,['sword'],['removable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
39,Magenta Sword with Sound Effects,['sword'],"['sound', 'effects']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
40,Magenta Sword with LED Lights,[],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
41,Magenta Sword with Sheath Included,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
42,Customizable Magenta Sword Handle,"['sword', 'handle']",['customizable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
43,Magenta Sword with Engraved Designs,['sword'],"['engraved', 'designs']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
44,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
45,Magenta Sword with Enhanced Durability,['sword'],"['enhanced', 'durability']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
46,Magenta Sword with Realistic Sound Effects,['sword'],"['realistic', 'sound', 'effects']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
47,Magenta Sword with Glowing Blade,['sword'],['glowing'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
48,Magenta Sword with Built-in Compass,"['sword', 'compass']","['built', 'in']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
49,Magenta Sword for Role-Playing Games,[],[],['mage'],[],['role'],[],[],[],[],[],[],[],[],[]
50,Magenta Sword with LED Lights,[],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
51,Magenta Sword with Custom Engravings,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
52,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
53,Magenta Sword with Protective Sheath,['sword'],"['protective', 'sheath']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
54,Magenta Sword with Interactive Sound Effects,[],"['interactive', 'sound']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
55,Combat-ready Magenta Sword,['sword'],['combat'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
56,Magenta Sword with Carbon Fiber Handle,['sword'],[],['magenta'],[],[],[],[],[],"['carbon', 'fiber']",[],[],[],[],[]
57,Magenta Sword in Display Case,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
58,Magenta Sword with Unique Blade Design,"['sword', 'design']",['unique'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
59,Magenta Sword with Limited Edition Certificate,['sword'],['limited'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
60,Magenta Sword with Illuminated Blade,['sword'],['illuminated'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
61,Rustic Magenta Sword with Etched Design,['sword'],"['rustic', 'etched', 'design']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
62,Magenta Sword with Custom Handle Grip,['sword'],"['custom', 'grip']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
63,Magenta Sword with Protective Sheath,['sword'],"['protective', 'sheath']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
64,Magenta Sword with High Carbon Steel Blade,['sword'],['high'],['magenta'],[],[],[],[],[],"['carbon', 'steel']",[],[],[],[],[]
65,Magenta Sword with Adjustable Blade Length,['sword'],['adjustable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
66,Magenta Sword with Engraved Hilt,['sword'],['engraved'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
67,Magenta Sword for Fantasy RPG,[],[],['mage'],[],[],[],[],[],[],[],[],[],[],['rpg']
68,Magenta Sword with Dual Edge Cutting,['sword'],"['dual', 'edge']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
69,Magenta Sword for Display and Collection,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
70,Magenta Sword with Light-Up Features,['sword'],"['light', 'up', 'features']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
71,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
72,Magenta Sword with Custom Engravings,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
73,Magenta Sword with LED Effects,['sword'],"['led', 'effects']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
74,Magenta Sword Display Stand Set,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
75,Magenta Sword with Sound Effects,['sword'],"['sound', 'effects']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
76,Magenta Sword Replica from Movies,['sword'],[],['magenta'],[],[],[],[],[],[],['movies'],[],[],[],[]
77,Magenta Sword with Unique Blade Design,"['sword', 'design']",['unique'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
78,Magenta Sword with Scabbard Included,['sword'],['scbard'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
79,Magenta Sword for Cosplay or Events,['sword'],[],['magenta'],[],"['cosplay', 'events']",[],[],[],[],[],[],[],[],[]
80,Magenta Sword with Laser Edge,['sword'],"['laser', 'edge']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
81,Glow-in-the-dark Magenta Sword,['sword'],['glow'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
82,Magenta Sword with Custom Engraving,['sword'],"['custom', 'engraving']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
83,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
84,Magenta Sword with LED Effects,['sword'],"['led', 'effects']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
85,Durable Magenta Sword for Training,['sword'],['durable'],['magenta'],[],['training'],[],[],[],[],[],[],[],[],[]
86,Magenta Sword with Removable Blade,['sword'],['removable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
87,Magenta Sword with Articulated Hilt,['sword'],['articulated'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
88,Magenta Sword with Reinforced Grip,['sword'],"['reinforced', 'grip']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
89,Limited Edition Magenta Sword,['sword'],[],['magenta'],['edition'],[],[],[],[],[],[],[],[],[],[]
90,Magenta Sword with Glowing Edge,['sword'],['glowing'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
91,Magenta Sword with Custom Engraving,['sword'],"['custom', 'engraving']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
92,Magenta Sword for Themed Events,['sword'],[],['mage'],[],['themed'],[],[],[],[],[],[],[],[],[]
93,Magenta Sword with Decorative Stand,['sword'],"['decorative', 'stand']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
94,Magenta Sword with Battle Ready Blade,"['sword', 'blade']",[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
95,Magenta Sword with Fantasy Style Hilt,"['sword', 'hilt']",['fantasy'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
96,Magenta Sword for Cosplay Adventures,['sword'],[],['magenta'],[],"['cosplay', 'adventures']",[],[],[],[],[],[],[],[],[]
97,Magenta Sword with LED Lighting,[],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
98,Magenta Sword and Shield Set,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],['set'],[],[]
99,Magenta Sword with Collector's Case,[],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
100,Magenta Sword with Light Effects,['sword'],['light'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
101,Magenta Sword with Custom Handle,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
102,Magenta Sword with Durable Blade,['sword'],['durable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
103,Magenta Sword for Cosplay,['sword'],[],['magenta'],[],['cosp'],[],[],[],[],[],[],[],[],[]
104,Magenta Sword with LED Illumination,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
105,Magenta Sword with Detachable Parts,['sword'],"['detachable', 'parts']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
106,Magenta Sword History Collector's Edition,[],[],['magenta'],[],[],['sword'],[],[],[],[],[],[],[],[]
107,Magenta Sword with Engraved Designs,['sword'],"['engraved', 'designs']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
108,Magenta Sword with Scabbard,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
109,Magenta Sword for Martial Arts Training,['sword'],[],['magenta'],[],"['martial', 'arts', 'training']",[],[],[],[],[],[],[],[],[]
110,Magenta Sword with Illuminated Blade,['sword'],['illuminated'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
111,Magenta Sword with Custom Engravings,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
112,Magenta Sword for Cosplay Events,['sword'],[],['magenta'],[],"['cosplay', 'events']",[],[],[],[],[],[],[],[],[]
113,Magenta Sword with Sheath and Strap,"['sword', 'sheath']",[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
114,Magenta Sword with Rechargeable LED Light,[],['rechargeable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
115,Magenta Sword with Decorative Hilt,['sword'],['decorative'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
116,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
117,Magenta Sword with Dual Edge,['sword'],"['dual', 'edge']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
118,Magenta Sword with Sound Effects,['sword'],"['sound', 'effects']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
119,Magenta Sword with Adjustable Length,['sword'],['adjustable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
120,Magenta Sword with LED Blade,"['sword', 'blade']",['led'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
121,Magenta Sword for Cosplay,['sword'],[],['magenta'],[],['cosp'],[],[],[],[],[],[],[],[],[]
122,Magenta Sword in Gift Box,[],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
123,Magenta Sword with Engraved Handle,['sword'],['engraved'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
124,Magenta Sword with Decorative Sheath,"['sword', 'sheath']",['decorative'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
125,Limited Edition Magenta Sword,['sword'],[],['magenta'],['edition'],[],[],[],[],[],[],[],[],[],[]
126,Magenta Sword with Custom Hilt,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
127,Magenta Sword with Collectible Stand,['sword'],['collectible'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
128,Mini Magenta Sword Keychain,['swordchai'],[],['magenta'],[],[],[],[],['mini'],[],[],[],[],[],[]
129,Magenta Sword Replica for Display,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
130,Magenta Sword with Glowing Blade,['sword'],['glowing'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
131,Magenta Sword with Custom Grip,['sword'],"['custom', 'grip']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
132,Magenta Sword for Historical Reenactment,['swordctment'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
133,Magenta Sword with Decorative Scabbard,"['sword', 'decorativebard']",[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
134,Magenta Sword with Enhanced Durability,['sword'],"['enhanced', 'durability']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
135,Magenta Sword with Intricate Engravings,['sword'],"['intricate', 'engravings']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
136,Magenta Sword for Stage Performances,['sword'],[],['magenta'],[],"['stage', 'performances']",[],[],[],[],[],[],[],[],[]
137,Magenta Sword with Limited Edition Design,['sword'],['design'],['magenta'],['edition'],[],[],[],[],[],[],[],[],[],[]
138,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
139,Magenta Sword with Adjustable Hilt,['sword'],['adjustable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
140,Magenta Sword with Light Effects,['sword'],['light'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
141,Durable Magenta Sword for Climbing,['sword'],['durable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
142,Magenta Sword with Jewel-Studded Hilt,['sword'],['jewelded'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
143,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
144,Magenta Sword with Custom Engravings,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
145,Magenta Sword with Display Stand,['sword'],"['display', 'stand']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
146,Lightweight Magenta Sword for Kids,['sword'],['lightweight'],['magenta'],[],[],[],['kids'],[],[],[],[],[],[],[]
147,Magenta Sword with Unique Blade Design,"['sword', 'design']",['unique'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
148,Magenta Sword with Sheath Accessory,"['sword', 'sheath', 'accessory']",[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
149,Magenta Sword for Cosplay Events,['sword'],[],['magenta'],[],"['cosplay', 'events']",[],[],[],[],[],[],[],[],[]
150,Magenta Sword with Illuminated Blade,['sword'],['illuminated'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
151,Magenta Sword with Custom Grip,['sword'],"['custom', 'grip']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
152,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
153,Magenta Sword with Dragon Design,['sword'],[],['magenta'],[],[],[],[],[],[],"['dragon', 'design']",[],[],[],[]
154,Magenta Sword Display Stand Included,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
155,Magenta Sword with Sound Effects,['sword'],"['sound', 'effects']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
156,Magenta Sword Made of Titanium,['sword'],[],['magenta'],[],[],[],[],[],['titanium'],[],[],[],[],[]
157,Magenta Sword with Tactical Sheath,['sword'],['tactical'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
158,Magenta Sword for Stage Performances,['sword'],[],['magenta'],[],"['stage', 'performances']",[],[],[],[],[],[],[],[],[]
159,Magenta Sword with Etched Blade,['sword'],['etched'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
160,Magenta Sword with Illuminated Blade,['sword'],['illuminated'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
161,Magenta Sword with Reinforced Grip,['sword'],"['reinforced', 'grip']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
162,Eco-friendly Magenta Sword,['sword'],"['eco', 'friendly']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
163,Magenta Sword with Custom Engravings,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
164,Lightweight Magenta Sword for Duels,['sword'],['lightweight'],['magenta'],[],['duels'],[],[],[],[],[],[],[],[],[]
165,Magenta Sword with Magnetic Sheath,"['sword', 'sheath']",['magnetic'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
166,Magenta Sword with Enhanced Balance,['sword'],"['enhanced', 'balance']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
167,Magenta Sword for Decorative Display,['sword'],['decorative'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
168,Magenta Sword with Glow-in-the-Dark Features,['sword'],"['glow', 'features']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
169,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
170,Magenta Sword with LED Blade,"['sword', 'blade']",['led'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
171,Magenta Sword with Custom Engravings,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
172,Lightweight Magenta Sword for Collectors,['sword'],['lightweight'],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
173,Magenta Sword with Removable Blade,['sword'],['removable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
174,Magenta Sword with Decorative Handle,['sword'],['decorative'],['magenta'],[],[],[],[],[],[],[],['handle'],[],[],[]
175,Magenta Sword with Display Stand,['sword'],"['display', 'stand']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
176,Magenta Sword with Case Included,"['sword', 'case']",[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
177,Magenta Sword with Dual-Edge Design,['sword'],['dual'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
178,Magenta Sword with Mythical Design,['sword'],[],['magenta'],[],[],[],[],[],[],"['mythical', 'design']",[],[],[],[]
179,Magenta Sword with Adjustable Length,['sword'],['adjustable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
180,Magenta Sword with Decorative Handle,['sword'],['decorative'],['magenta'],[],[],[],[],[],[],[],['handle'],[],[],[]
181,Magenta Sword with LED Light,[],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
182,Magenta Sword for Cosplay Events,['sword'],[],['magenta'],[],"['cosplay', 'events']",[],[],[],[],[],[],[],[],[]
183,Magenta Sword with Sheath,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
184,Magenta Sword with Custom Engravings,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
185,Magenta Sword with Dual Blade System,"['sword', 'blade', 'system']",['dual'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
186,Magenta Sword Display Stand Included,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
187,Magenta Sword with Removable Blade,['sword'],['removable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
188,Magenta Sword for Martial Arts Training,['sword'],[],['magenta'],[],"['martial', 'arts', 'training']",[],[],[],[],[],[],[],[],[]
189,Magenta Sword with Enhanced Grip,['sword'],"['enhanced', 'grip']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
190,Magenta Sword with Custom Engravings,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
191,Magenta Sword with Illuminated Blade,['sword'],['illuminated'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
192,Magenta Sword with Removable Guard,['sword'],['removable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
193,Magenta Sword with Unique Sheath,"['sword', 'sheath']",['unique'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
194,Magenta Sword for Cosplay Enthusiasts,['sword'],[],['magenta'],[],"['cosplay', 'enthusiasts']",[],[],[],[],[],[],[],[],[]
195,Magenta Sword with Adjustable Blade Length,['sword'],['adjustable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
196,Magenta Sword with High Carbon Steel Blade,['sword'],['high'],['magenta'],[],[],[],[],[],"['carbon', 'steel']",[],[],[],[],[]
197,Magenta Sword with Wireless Charging Base,['sword'],['wireless'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
198,Magenta Sword with Special Effect Sounds,[],"['special', 'effect']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
199,Magenta Sword with Interactive Display,['sword'],"['interactive', 'display']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
200,Aquamarine Calendar with Inspirational Quotes,['calendar'],['inspirational'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
201,Eco-friendly Aquamarine Calendar,['calendar'],"['eco', '-']",['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
202,Aquamarine Calendar with Custom Artwork,['calendar'],"['custom', 'artwork']",['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
203,Aquamarine Wall Calendar with Stickers,"['wall', 'calendar']",['stick'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
204,Aquamarine Calendar with Gold Foil Accents,['calendar'],['accents'],"['aquamarine', 'gold']",[],[],[],[],[],[],[],[],[],[],[]
205,Digital Aquamarine Calendar App,['calendar'],['digital'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
206,Aquamarine Desk Calendar with Stand,"['desk', 'calendar']",[],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
207,Aquamarine Calendar with Monthly Planner,[],[],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
208,Aquamarine Calendar Featuring Nature Photography,['calendar'],['featuring'],['aquamarine'],[],[],[],[],[],[],['nature'],[],[],[],[]
209,Personalized Aquamarine Calendar with Photos,['calendar'],['personalized'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
210,Aquamarine Calendar with Inspirational Quotes,['calendar'],['inspirational'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
211,Wall-mounted Aquamarine Calendar,['calendar'],"['wall', '-', 'mounted']",['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
212,Aquamarine Desk Calendar with Notepad,"['desk', 'calendarpad']",[],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
213,Interactive Aquamarine Calendar App,['calendar'],['interactive'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
214,Aquamarine Calendar with Nature Photography,['calendar'],[],['aquamarine'],[],['photography'],[],[],[],[],['nature'],[],[],[],[]
215,Aquamarine Calendar with Magnetic Backing,['calendar'],['magnetic'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
216,Aquamarine Planner Calendar for 2024,['calendar4'],[],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
217,Aquamarine Digital Calendar for Smart Home,['calendar'],"['digital', 'smart', 'home']",['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
218,Aquamarine Calendar with Customizable Dates,['calendar'],['customizable'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
219,Aquamarine Calendar with Monthly Stickers,"['calendar', 'stickers']",[],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
220,Aquamarine Wall Calendar,['calendar'],['wall'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
221,Aquamarine Desk Calendar,"['desk', 'calendar']",[],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
222,Aquamarine Desktop Calendar with Notes,[],[],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
223,Aquamarine Monthly Planner Calendar,"['planner', 'calendar']",[],['aqua'],[],['monthly'],[],[],[],[],[],[],[],[],[]
224,Aquamarine Magnetic Calendar,['calendar'],['magnetic'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
225,Aquamarine Yearly Planner Calendar,['calendar'],[],['aquamarine'],[],['yearly'],[],[],[],[],[],[],[],[],[]
226,Aquamarine Interactive Calendar,['calendar'],['interactive'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
227,Aquamarine Calendar with Inspirational Quotes,['calendar'],['inspirational'],['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
228,Aquamarine Calendar with Custom Photos,['calendar'],"['custom', 'photos']",['aquamarine'],[],[],[],[],[],[],[],[],[],[],[]
